  1 2016-10-18 22:21:30.390782      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
  2 2016-10-18 22:21:33.485285      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
  3 2016-10-18 22:21:38.376668     10.0.0.1 -> 10.0.0.4     TCP 74 38323 > targus-getdata1 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=121975047 TSecr=0 WS=512
  4 2016-10-18 22:21:38.376714     10.0.0.4 -> 10.0.0.1     TCP 74 targus-getdata1 > 38323 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=121975069 TSecr=121975047 WS=512
  5 2016-10-18 22:21:38.417661     10.0.0.1 -> 10.0.0.4     TCP 66 38323 > targus-getdata1 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=121975089 TSecr=121975069
  6 2016-10-18 22:21:38.418187     10.0.0.1 -> 10.0.0.4     TCP 103 38323 > targus-getdata1 [PSH, ACK] Seq=1 Ack=1 Win=29696 Len=37 TSval=121975090 TSecr=121975069
  7 2016-10-18 22:21:38.418271     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38323 [ACK] Seq=1 Ack=38 Win=29184 Len=0 TSval=121975110 TSecr=121975090
  8 2016-10-18 22:21:38.418332     10.0.0.4 -> 10.0.0.1     TCP 67 targus-getdata1 > 38323 [PSH, ACK] Seq=1 Ack=38 Win=29184 Len=1 TSval=121975110 TSecr=121975090
  9 2016-10-18 22:21:38.458806     10.0.0.1 -> 10.0.0.4     TCP 66 38323 > targus-getdata1 [ACK] Seq=38 Ack=2 Win=29696 Len=0 TSval=121975130 TSecr=121975110
 10 2016-10-18 22:21:38.459316     10.0.0.1 -> 10.0.0.4     TCP 70 38323 > targus-getdata1 [PSH, ACK] Seq=38 Ack=2 Win=29696 Len=4 TSval=121975131 TSecr=121975110
 11 2016-10-18 22:21:38.498710     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38323 [ACK] Seq=2 Ack=42 Win=29184 Len=0 TSval=121975191 TSecr=121975131
 12 2016-10-18 22:21:38.539313     10.0.0.1 -> 10.0.0.4     TCP 123 38323 > targus-getdata1 [PSH, ACK] Seq=42 Ack=2 Win=29696 Len=57 TSval=121975211 TSecr=121975191
 13 2016-10-18 22:21:38.539437     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38323 [ACK] Seq=2 Ack=99 Win=29184 Len=0 TSval=121975231 TSecr=121975211
 14 2016-10-18 22:21:38.539530     10.0.0.4 -> 10.0.0.1     TCP 67 targus-getdata1 > 38323 [PSH, ACK] Seq=2 Ack=99 Win=29184 Len=1 TSval=121975231 TSecr=121975211
 15 2016-10-18 22:21:38.580173     10.0.0.1 -> 10.0.0.4     TCP 74 38324 > targus-getdata1 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=121975252 TSecr=0 WS=512
 16 2016-10-18 22:21:38.580218     10.0.0.4 -> 10.0.0.1     TCP 74 targus-getdata1 > 38324 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=121975272 TSecr=121975252 WS=512
 17 2016-10-18 22:21:38.619138     10.0.0.1 -> 10.0.0.4     TCP 66 38323 > targus-getdata1 [ACK] Seq=99 Ack=3 Win=29696 Len=0 TSval=121975291 TSecr=121975231
 18 2016-10-18 22:21:38.620710     10.0.0.1 -> 10.0.0.4     TCP 66 38324 > targus-getdata1 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=121975292 TSecr=121975272
 19 2016-10-18 22:21:38.620787     10.0.0.1 -> 10.0.0.4     TCP 103 38324 > targus-getdata1 [PSH, ACK] Seq=1 Ack=1 Win=29696 Len=37 TSval=121975292 TSecr=121975272
 20 2016-10-18 22:21:38.620815     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=38 Win=29184 Len=0 TSval=121975313 TSecr=121975292
 21 2016-10-18 22:21:38.625049     10.0.0.4 -> 10.0.0.1     TCP 67 targus-getdata1 > 38323 [PSH, ACK] Seq=3 Ack=99 Win=29184 Len=1 TSval=121975317 TSecr=121975291
 22 2016-10-18 22:21:38.665474     10.0.0.1 -> 10.0.0.4     TCP 66 38323 > targus-getdata1 [ACK] Seq=99 Ack=4 Win=29696 Len=0 TSval=121975337 TSecr=121975317
 23 2016-10-18 22:21:38.665526     10.0.0.4 -> 10.0.0.1     TCP 67 targus-getdata1 > 38323 [PSH, ACK] Seq=4 Ack=99 Win=29184 Len=1 TSval=121975357 TSecr=121975337[Malformed Packet]
 24 2016-10-18 22:21:38.705978     10.0.0.1 -> 10.0.0.4     TCP 66 38323 > targus-getdata1 [ACK] Seq=99 Ack=5 Win=29696 Len=0 TSval=121975378 TSecr=121975357
 25 2016-10-18 22:21:38.706039     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=38 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 26 2016-10-18 22:21:38.706055     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=1486 Win=32256 Len=0 TSval=121975398 TSecr=121975378
 27 2016-10-18 22:21:38.706483     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=1486 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 28 2016-10-18 22:21:38.706520     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=2934 Win=34816 Len=0 TSval=121975398 TSecr=121975378
 29 2016-10-18 22:21:38.707133     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=2934 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 30 2016-10-18 22:21:38.707172     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=4382 Win=37888 Len=0 TSval=121975399 TSecr=121975378
 31 2016-10-18 22:21:38.708435     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=4382 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 32 2016-10-18 22:21:38.708485     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=5830 Win=40960 Len=0 TSval=121975400 TSecr=121975378
 33 2016-10-18 22:21:38.709671     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=5830 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 34 2016-10-18 22:21:38.709721     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=7278 Win=43520 Len=0 TSval=121975402 TSecr=121975378
 35 2016-10-18 22:21:38.710906     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=7278 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 36 2016-10-18 22:21:38.710950     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=8726 Win=46592 Len=0 TSval=121975403 TSecr=121975378
 37 2016-10-18 22:21:38.711999     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=8726 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 38 2016-10-18 22:21:38.712045     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=10174 Win=49664 Len=0 TSval=121975404 TSecr=121975378
 39 2016-10-18 22:21:38.713227     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=10174 Ack=1 Win=29696 Len=1448 TSval=121975378 TSecr=121975313
 40 2016-10-18 22:21:38.713270     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=11622 Win=52224 Len=0 TSval=121975405 TSecr=121975378
