S1-time		S2-time			IAT-S2			Delay-S2		S1-chksum				S2-chksum
10:55:05.910   10:55:05.928   0:00:00                            0:00:00.018000           ['tcp_csum:20d']                 ['tcp_csum:20d']
10:55:05.992   10:55:06.012   0:00:00.084000                     0:00:00.020000           ['tcp_csum:19b']                 ['tcp_csum:19b']
10:55:05.992   10:55:06.012   0:00:00                            0:00:00.020000           ['tcp_csum:ed0e']               ['tcp_csum:ed0e']
10:55:05.992   10:55:06.013   0:00:00.001000                     0:00:00.021000           ['tcp_csum:7c6f']               ['tcp_csum:7c6f']
10:55:05.992   10:55:06.014   0:00:00.001000                     0:00:00.022000           ['tcp_csum:b60a']               ['tcp_csum:b60a']
10:55:05.992   10:55:06.015   0:00:00.001000                     0:00:00.023000           ['tcp_csum:354e']               ['tcp_csum:354e']
10:55:05.992   10:55:06.017   0:00:00.002000                     0:00:00.025000           ['tcp_csum:66c3']               ['tcp_csum:66c3']
10:55:05.992   10:55:06.018   0:00:00.001000                     0:00:00.026000           ['tcp_csum:a491']               ['tcp_csum:a491']
10:55:05.992   10:55:06.019   0:00:00.001000                     0:00:00.027000           ['tcp_csum:6a0c']               ['tcp_csum:6a0c']
10:55:05.993   10:55:06.020   0:00:00.001000                     0:00:00.027000           ['tcp_csum:3f4b']               ['tcp_csum:3f4b']
10:55:05.993   10:55:06.021   0:00:00.001000                     0:00:00.028000           ['tcp_csum:b3c9']               ['tcp_csum:b3c9']
10:55:06.032   10:55:06.052   0:00:00.031000                     0:00:00.020000           ['tcp_csum:fca7']               ['tcp_csum:fca7']
10:55:06.032   10:55:06.057   0:00:00.005000                     0:00:00.025000           ['tcp_csum:d71d']               ['tcp_csum:d71d']
10:55:06.036   10:55:06.057   0:00:00                            0:00:00.021000           ['tcp_csum:7821']               ['tcp_csum:7821']
10:55:06.036   10:55:06.057   0:00:00                            0:00:00.021000           ['tcp_csum:7966']               ['tcp_csum:7966']
10:55:06.036   10:55:06.057   0:00:00                            0:00:00.021000           ['tcp_csum:220c']               ['tcp_csum:220c']
10:55:06.036   10:55:06.057   0:00:00                            0:00:00.021000           ['tcp_csum:dc36']               ['tcp_csum:dc36']
10:55:06.037   10:55:06.059   0:00:00.002000                     0:00:00.022000           ['tcp_csum:4910']               ['tcp_csum:4910']
10:55:06.037   10:55:06.059   0:00:00                            0:00:00.022000           ['tcp_csum:92c2']               ['tcp_csum:92c2']
10:55:06.037   10:55:06.061   0:00:00.002000                     0:00:00.024000           ['tcp_csum:ac7c']               ['tcp_csum:ac7c']
10:55:06.037   10:55:06.062   0:00:00.001000                     0:00:00.025000           ['tcp_csum:f0e']                 ['tcp_csum:f0e']
10:55:06.037   10:55:06.063   0:00:00.001000                     0:00:00.026000           ['tcp_csum:23cd']               ['tcp_csum:23cd']
10:55:06.037   10:55:06.064   0:00:00.001000                     0:00:00.027000           ['tcp_csum:8ab1']               ['tcp_csum:8ab1']
10:55:06.038   10:55:06.066   0:00:00.002000                     0:00:00.028000           ['tcp_csum:7625']               ['tcp_csum:7625']
10:55:06.038   10:55:06.067   0:00:00.001000                     0:00:00.029000           ['tcp_csum:586']                 ['tcp_csum:586']
10:55:06.040   10:55:06.068   0:00:00.001000                     0:00:00.028000           ['tcp_csum:3f1f']               ['tcp_csum:3f1f']
10:55:06.040   10:55:06.069   0:00:00.001000                     0:00:00.029000           ['tcp_csum:be62']               ['tcp_csum:be62']
10:55:06.041   10:55:06.070   0:00:00.001000                     0:00:00.029000           ['tcp_csum:efd7']               ['tcp_csum:efd7']
10:55:06.041   10:55:06.072   0:00:00.002000                     0:00:00.031000           ['tcp_csum:2da6']               ['tcp_csum:2da6']
10:55:06.042   10:55:06.073   0:00:00.001000                     0:00:00.031000           ['tcp_csum:f320']               ['tcp_csum:f320']
10:55:06.042   10:55:06.076   0:00:00.003000                     0:00:00.034000           ['tcp_csum:c85f']               ['tcp_csum:c85f']
10:55:06.073   10:55:06.094   0:00:00.018000                     0:00:00.021000           ['tcp_csum:3cce']               ['tcp_csum:3cce']
10:55:06.074   10:55:06.097   0:00:00.003000                     0:00:00.023000           ['tcp_csum:85d3']               ['tcp_csum:85d3']
10:55:06.074   10:55:06.097   0:00:00                            0:00:00.023000           ['tcp_csum:6041']               ['tcp_csum:6041']
10:55:06.077   10:55:06.097   0:00:00                            0:00:00.020000           ['tcp_csum:145']                 ['tcp_csum:145']
10:55:06.077   10:55:06.098   0:00:00.001000                     0:00:00.021000           ['tcp_csum:28a']                 ['tcp_csum:28a']
